,title,date,content
0,ARAW NG KAGITINGAN,"APRIL 16, 2023",ARAW NG KAGITINGAN — Police Regional Office-Cordillera Director B/Gen David Peredo Jr. and Mayor Benjamin Magalong joined the few surviving World War II veterans and other guests in observing the Araw ng Kagitingan and Veterans Week at the Veterans Park in Baguio City on April 11. — PRO-Cor photo  
1,Illegal structures within Teachers Camp removed,"APRIL 16, 2023","  The City Demolition Team and City Anti-Squatting and Illegal Structures (Basis) demolished on April 13 three structures built within the Teachers’ Camp reservation without the requisite building permit and consent to construct.
The City Buildings and Architecture Office through the City Demolition Team led by Engr. Donald Gas-ib implemented Demolition Order 4, s. 2022 issued by Mayor Benjamin Magalong based on the complaints of the National Housing Authority.
The NHA is the administrator of Proclamation 613, s. 2004 which segregated and reserved 3.4 hectares of land within the Teachers’ Camp reservation for housing site purposes and for disposition to qualified beneficiaries.
The issue dates back in 2016 when NHA Region 1 and Cordillera Manager Eduardo G. Leano requested the CBAO for the immediate inspection and issuance of demolition order to an ongoing construction within the proposed/identified access road of Proclamation 613.
Records of the Project Interagency Committee (PIAC) of the NHA show notices of violation have been issued to the owner of the structure for them to stop their ongoing construction.
Considering the investigation was conducted several years back, the Anti-Squatting and Anti-Illegal Structures Committee requested the CBAO to conduct re-investigation on the structures within the proclamation to have an updated report as to the identity of the owners and the dimension of the structures and materials used.
On Oct. 19, 2021, the CBAO submitted a memorandum containing the result of the re-investigation revealing 11 structures within Proclamation 613 of NHA while the rest of the structures are within Proclamation 290 under the jurisdiction of the Department of Education particularly Teachers’ Camp Administration.
Four structures within Proclamation 613 are the priority concern of NHA described as follows:
One-story residential structure made of reinforced concrete, concrete hollow block and galvanized iron sheets with approximate measurements of eight by eight meters in footprint area, allegedly constructed sometime in 2012;
One unit comfort room made of wood, concrete hollow block and galvanized iron sheet with approximate measurements of 2.5m by 1.5m in footprint area, allegedly constructed sometime in 2016;
An unfinished one-story residential house made of reinforced concrete with approximate measurements of 9m by 6m in footprint area; and
One-story shanty made of wood and galvanized iron sheet with approximate dimension of 5m by 3m footprint area, allegedly constructed sometime in 2010.
Per certification issued by CBAO dated Oct. 18, 2021, no building permit was issued to the owners of the structures resulting in the issuance of notices of violation and the committee reiterated voluntary demolition.
However, only the owner of the shanty voluntarily demolished their structure as of December 2021.
On Dec. 2, 2021, one of the respondents requested the NHA if it is possible for the government to sell to the former that portion of the lot that they have occupied.
But the representatives of NHA answered in the negative since this would be a direct violation of Republic Act 7279 or the Urban Development Housing Act of 1992.
Also under the Policy Guidelines on Beneficiary Selection and Disposition of Homelots adopted by the PIAC, all the three structure owners are not actual occupants within the Baguio Teachers Camp reservation.
The city government will implement an aggressive operation for the demolition of illegal structures within reservations as well as stoppage of ongoing constructions without building permits. – Jessa Mardy P. Samidan  "
2,BWD’s interconnection project augments supply,"APRIL 16, 2023","UP AND RUNNING — The Baguio Water District technical team rendered overtime on Holy Thursday to complete the testing of the pipeline interconnection of the BWD Malvar tank and Old Lucban barrel. The interconnection project aims to augment water supply towards the Buyog and Pinsao-2 deepwells due to the seasonal decline of water sources during the dry season. — Mark Victor Pasagoy  The Baguio Water District has completed the pipeline interconnection project at the Old Lucban deepwell on April 6.
The project, initiated on April 4, aims to augment the reduced water yield of the Buyog and Pinsao-2 deepwells.
Problem areas in parts of Pinget, Pinsao, Fairview, Magsaysay, Quirino Hill, and Tam-awan are expected to have better water supply during water diversion schedules.
Primarily, water will be sourced from the Malvar deepwell and will be conveyed to augment the Old Lucban deepwell.
Earlier this year, BWD has been closely monitoring the gradual reduction of water produced by water sources at Buyog deepwell and spring and Pinsao-2 deepwell. As of this date, the yield reduction of the two water sources has affected the normal water supply of the areas to which these are diverted.
Through the interconnection project, BWD targets to sustain the equitable distribution of available water supply in the north-north-eastern side of Baguio City.
BWD also activated its contingency measure to augment the water supply at the BWD Sanggalang tank by means of BWD water delivery trucks. During normal operations, the Sanggalang tank fills up an average of four to 6.6 meters water level, but this was temporarily affected due to the yield reduction at the Easter, Tam-awan, and Pinsao deepwells.
Meanwhile, BWD advised the public to continue observing water conservation practices as supply is affected by the seasonal decline in water supply experienced during the dry season and will be further affected by the anticipated El Niño phenomenon as earlier announced by the Pagasa.
An artificial increase in water demand is currently experienced due to the influx of tourists, returning residents, and transients. Nevertheless, the BWD announced it is exerting its best efforts to minimize these effects and is doing all it can to serve its constituents through water supply improvement and expansion projects.
BWD customers are advised to install water storage facilities such as tanks, drums, or other containers with a three-day backup water supply as it implements a rationing system. Further, the installation of a sump tank and boosters to pump water to their elevated water storage facilities is highly encouraged as this comes as part of the standard water system set-up especially at highly elevated residences.
Commercial establishments, on the other hand, are advised to apply for additional or enlargement of their current tapping should their daily water demand increase.
For concerns and water deliveries, customers are advised to reach the following numbers which can be reached 24/7: 442-3218, 442-4929, 0908-8651-504, 0917-679-4929, 0922-840-9765, or send a message at BWD_Customer Relations Facebook page or send an email to baguiowaterdistrictgmo@gmail.com. – Press release  "
3,Dads approve P185 M fund for various projects,"APRIL 16, 2023","  The Baguio City council has approved the allocation of more than P185 million to fund various projects listed under the supplemental Annual Investment Plan (AIP), with the exception of two items worth P7M.
The supplemental budget, worth P185,120,000, covers 16 projects, but the council deferred the approval of the items concerning the development of tourist rest site at Kennon Road worth P5M and the processing of titles of parcels of land at Burnham Park in favor of the city government, which is worth P2M.
Councilor Mylen Yaranon said there was a need to ensure if the Tourism Infrastructure and Enterprise Zone Authority (Tieza) approved the planned titling of portions of Burnham Park in the name of the city government.
Under the supplemental budget, the planned titling under the city government includes the lots covering Melvin Jones, Burnham Lake, Orchidarium, Children’s Park, part of Skating Rink and Tennis Court, and parts of Pine Trees of the World Park.
For the development of the tourist rest site along Kennon Road, Councilor Benny Bomogao said the council needs to be clarified on the lease agreement the city has to sign with the Department of Environment and Natural Resources on the use of the land for the establishment of tourist rest area.
The lease agreement provides the city government must pay an annual lease of P250,000 to the DENR for the Kennon Road tourist rest area.
City Budget Officer Leticia Clemente said she had no prior knowledge about the city’s lease agreement with the DENR.
The council invited the Department of Tourismand the DENR in its next session to update members if Tieza already gave its approval for the titling of parts of Burnham Park and for the DENR to clarify the lease agreement.
The other projects to be funded by the supplemental budget are the safe and sound cities program in Baguio worth P8M; proposed Engineer’s Hill Barangay Multipurpose Complex, P10M; purchase of furniture and fixture for the newly constructed Aurora Hill Super Health Center, P4M; and repair and renovation of the vacant building at Orchidarium, Burnham Park for the livelihood of persons with disability of Burnham-Legarda-Kisad barangay, P2.3M.
The fund is also intended for the updating of the city’s Comprehensive Land Use Plan/City Development Plan worth P1M; construction of a drainage canal at an alley in Ambiong P300,000; repair and improvement of drainage system at Happy Homes Old Lucban, P9.6M; improvement of Asin District Health Center, P3M; improvement of City Camp Central Health Center, P1.8M; and classroom building renovation at Pinsao Elementary School, P4.5M.
The supplemental budget will also fund the documentary stamp tax and transfer of property of the Baguio Convention Center worth P15M, the proposed livestockecological market building at Dontogan barangay, P108M; and restoration of eroded riprap and portion of road at Honeymoon worth P620,000.
The supplemental budget was sourced from the continuing appropriations of 2020 with P108M; the 2022 surplus of the general fund, P76.5M; and from the Local Disaster Risk Reduction management Trust Fund, P620,000. – Jane B. Cadalig  "
4,Decreased crime volume reported over Holy Week,"APRIL 16, 2023","  The Baguio City Police Office headed by City Director Col. Francisco Bulwayan Jr. managed to keep crimes under control during the Holy Week despite the maximized tourism and economic activities in the city.
Bulwayan said records showed that the crime volume decreased by 27.77 percent or 10 incidents for the period of April 3 to 9 as compared to the crime figure on April 10 to 16.
Mayor Benjamin Magalong commended the BCPO and other government and private groups and individuals who served during the Holy Week exodus, saying their services were instrumental to the peaceful and orderly observance of the Lenten season and tourism activities in the city.
Index and non-index crimes both went down.
For index crimes, the BCPO documented two incidents this year compared to four last year or a 50 percent decrease. Crimes recorded under this type were robbery and physical injury and murder.
For non-index crimes, seven crime incidents were recorded this year as against last year’s 12 or a drop of 41.67 percent. Non-index crimes committed during the period were alarm and scandal, arson of property for small value, discharge of firearm, grave coercion, malicious mischief and violations of anti-child abuse and anti-gambling laws.
As to traffic incidents, the recorded cases were 12 reckless imprudence resulting in damage to property, four reckless imprudence resulting in physical injuries, and one case of reckless imprudence resulting in homicide. Last year, there were 17 reckless imprudence resulting in damage to property cases and three reckless imprudence resulting in physical injuries.
Bulwayan attributed the decrease in crime volume to the increased number of personnel and volunteer groups deployed composed of 1,574 personnel and strict implementation of enhanced management of police operations like checkpoints, Oplan Bakal Sita, police presence, foot patrol and mobile patrol. – Aileen P. Refuerzo and Mileyvonne Tiamzon  "
5,"April 21, holiday to mark Eid’l Fitr","APRIL 16, 2023","  President Ferdinand Marcos, Jr. declared April 21 as a regular holiday for the observance of Eid’l Fitr, or the culmination of the Fasting of Ramadan.
Marcos signed Proclamation 201 after the National Commission on Muslim Filipinos (NCMF) recommended for the declaration of the date as a national holiday.
“In order to bring the religious and cultural significance of the Eid’l Fitr to the fore of national consciousness and to allow the entire Filipino nation to join their Muslim brothers and sisters in peace and harmony in the observance and celebration of Eid’l Fitr, it is necessary to declare April 21, 2023, a regular holiday throughout the country,” the proclamation read.
Eid’l Fitr, one of the two most important Islamic celebrations, is observed by the Muslim community three days after the month-long Ramadan fasting.
The other important celebration, Eid al-Adha or The Feast of the Sacrifice, is celebrated on the 10th day of the last month of the Islamic calendar and commemorates the willingness of Ibrahim (Abraham) to sacrifice his son to God.
Eid al-Adha also marks the end of the Hajj pilgrimage to Mecca, the fifth pillar of Islam.
Muslim Filipinos comprise about six percent of the population.
To honor country’s Islamic heritage, the government in 2002 established Eid’l Fitr as a regular holiday by virtue of Republic Act 9177 and Presidential Proclamation 1083.
The holiday is determined by the use of the lunar-based Islamic calendar through the sighting of the crescent moon in the Islamic month of Shawwal. – PNA  "
6,7 lucky visitors in city enjoy 4-day red carpet treatment,"APRIL 16, 2023","2023 LUCKY SUMMER VISITORS — The Baguio Correspondents and Broadcasters Club selected seven first-time Baguio tourists as the 2023 Lucky Summer Visitors. The LSVs are couple, Ivan Magahis and Ciara Balmaceda from Bacoor City, Cavite and Lea Cayabyab, Rechelle Ramos, Joan Velez, and Genalyn Billones from Mariveles, Bataan. The guests, who paid a courtesy visit to Mayor Benjamin Magalong, stayed for four days with free hotel accommodation, a guided tour in Baguio and Benguet tourist destinations and other amenities. The LSV is an annual project of the Baguio Correspondents and Broadcasters Club with support from government and private partners. — Neil Clark Ongchangco  Seven first-time visitors to Baguio and Benguet were treated to a four-day red carpet that was afforded them by the Baguio Correspondents and Broadcasters Club (BCBC) and its partners from Holy Thursday to Easter Sunday.           
The seven visitors from Bacoor City, Cavite and Mariveles, Bataan were this year’s beneficiaries of the annual Search for the Baguio-Benguet Lucky Visitor after the search resumed following a three-year lull due to the Covid-19 pandemic.           
Ciara Balmaceda, 26, and a resident of Bacoor City, Cavite, expressed her gratitude to the BCBC and its partners for the wonderful treatment that was afforded them after she and her partner Ivan Magahis, 26, also of Bacoor City, were chosen from a Victory Liner bus to be the initial recipients of a four-day red carpet treatment from the media organization.           
She said they will treasure the experience for a lifetime.       
Magahis said words are not enough to express their gratitude to the BCBC and its partners for the special treatment that they got after being chosen as this year’s lucky visitors.
He said they will forever remember the one-of-a kind experience when they were allowed to visit key tourist destinations for free.        
Joan Veles, 38, a sari-sari store owner from Mariveles, Bataan, said that they will have a lot to share to their province mates on the various tourist destinations in the city and nearby Benguet, which they were able to visit for free.    
She was in the company of Ivy Cayabyab, 30; Lea Cayabyab, 26; Rechelle Ramos, 36; and Ginalyn Billones, 37 when they were chosen by the members of the BCBC selection committee from the Genesis bus that was also flagged down in Pugo, La Union.       
The five lucky visitors from Mariveles, Bataan were supposed to spend the night at Burnham Park and brought with them limited clothes.
Under the search, first-time visitors to the city will be chosen by the members of the BCBC selection committee from the passengers of Baguio-bound buses.        
Pugo Mayor Kurt Walter M. Martin welcomed the lucky visitors while they were disembarking from their respective buses and during the mini-press conference.          
Martin expressed his gratitude to the BCBC and its partners for including Pugo in the itinerary of the lucky summer visitors as the same will help in promoting the municipality as a worthy destination while visitors are en route to their desired destinations in Baguio, Benguet, and La Union.           
The lucky visitors paid a courtesy call to Tuba Mayor Clarita Sal-ongan at the municipal hall grounds where a simple program was held that was attended by councilors William Abanse, Eugene Gabino, and Oliver Paus and officials and employees of the municipal government and other national agencies in the locality.          
The lucky visitors also paid courtesy calls to Baguio and Benguet officials.
Mayor Benjamin Magalong welcomed the lucky summer visitors at the city hall, Benguet provincial tourism officer Eliazar Carias welcomed them at the Benguet Provincial Capitol while Councilors Belmer Elis, Bartolome Baldas and municipal tourism officer Valred Olsim welcomed the visitors at the Strawberry Valley Hotel in La Trinidad.       
The annual search was spearheaded by the BCBC in partnership with the Baguio city Government, Benguet Provincial Government, Pugo Municipal Government, La Trinidad Municipal government, Police Regional Office-Cordillera, Benguet Rep. Eric Yap, Philippine Veterans Bank, Philex Mining corporation, Smart Communications, Department of Tourism-Cordillera, Department of Transportation-Cordillera, Land Transportation Office-Cordillera, Department of Public Works and Highways-Cordillera, Liga ng mga Barangay-Baguio chapter, PLDT, Benguet Electric Cooperative, Baguio Water District, Baguio Country Club, Hotel and Restaurant Association of Baguio, Panagbenga Secretariat, Polig’s Berry Farm, Beacon Hill and Eco Park, The Ridge, Tam-awan Village, Igorot Stone Kingdom, League of Associations at the Vegetable Trading Post, National Grid Corporation, SN Aboitiz Power-Benguet, Camp John Hay Manor, Hotel Supreme, Benguet Provincial Police Office, Baguio City Police Office, Tublay Municipal Police Station, La Trinidad Municipal Police Station, Tuba Municipal Police Station, Pugo Municipal Police Station, Pugo Municipal Police Station, Abanao Square, SM City Baguio, R&R Management, SkyRanch Baguio, Mark AMedia Solutions, Flying V gas station and restaurant, Rep. Mark Go, Councilor Michael L. Lawana, Councilor Maximo Edwin, Jr., Engr. Rocky Aliping, City Environment and Parks Management Office, City Tourism Office, and former mayor Mauricio G. Domogan. – PIO release  "
7,STATION VISIT,"APRIL 16, 2023",STATION VISIT — Police Regional Office-Cordillera Director B/Gen. David Peredo Jr. visited the Baguio City Police Office Station 4 under Major Wiltz Konrad Sally to check on the police capability to ensure public order and safety during the summer vacation in the city. — PRO-Cor photo   
8,EDITORIAL CARTOON,"APRIL 16, 2023",   
9,"Over 7,000 senior citizens of Baguio avail of benefits","APRIL 16, 2023","  There are 7,419 senior citizens enjoying their retirement in Baguio City.
This is based on the records of the City Social Welfare and Development Office (CSWDO) on the number of identification cards issued to senior citizens for 2022.
CSWDO Gender and Equality Focal Person Myrna Valencerina said 50.14 percent of the total senior citizen population in the city are female while 49.85 percent are male.
Of the total, at least half or 4,161 are new holders of senior citizen ID; 473 transferred to Baguio from other places; while 2,785 are replacements.
Only 4,097 of the total senior citizen ID holders are social pension beneficiaries and most of them are residents of Barangay Irisan, 652. Other barangays in the top five of elderly with social pension reside in Asin Road with 250, San Luis with 166, Pinget with 151, and Fairview with 148.
The city government released a total of P1,230,000 cash incentives awarded to 123 nonagenarians (90 to 99 years old) last year while 93 females and 30 males received P10,000 each.
For the cash incentive to centenarians (100 years old and above), nine female centenarians received P100,000 each while two centenarians – a male and female – received P5,000 each for making it through another year pursuant to Ordinance 84, s. 2019.
Valencerina said the city government and concerned offices are fast-tracking the printing of movie pass booklets to implement the upgraded five-day theater admission privilege for senior citizens and persons with disability in the city.
The booklets will have to be obtained from the Office of the Senior Citizens Affairs at the Senior Citizens Center at Salud Mitra barangay for senior citizens and at the Persons with Disability Affairs Office at the City Mayor’s Office for PWDs.
Aside from movie pass, seniors and PWDs who are residents of Baguio are afforded 20 percent discount in parking fees provided that the senior citizen or the PWD is driving the vehicle based on Ordinance 149, s. 2020 which amended Ordinance 8, s. 2013. – Jessa Mardy P. Samidan  "
