,title,date,content,preprocessed_content
0,PUBLIC SERVANT OF THE YEAR,2023-05-07,"PUBLIC SERVANT OF THE YEAR — Mayor Benjamin Magalong was recognized by the city council for receiving the Philippines’ Outstanding Public Servant and Humanitarian Hero Award during the 5th Dangal ng Lahi Awards 2023. — Neil Clark Ongchangco



",public servant public servant
1,‘Titling of Burnham Park needs approval of DOT’,2023-05-07,"Even when granted full control over Burnham Park, there are limitations to what the city government of Baguio can do over the park.
One of these is segregating portions of the park.
The Presidential proclamations that granted the city government full control and administration of Burnham Park prohibit segregating a portion of the park unless permitted by the Secretary of the Department of Tourism.
This was revealed amidst the Tourism Infrastructure and Development Authority’s protest about the city government’s titling of portions of the park.
Titling of city land needs started during the term of former mayor Mauricio Domogan but the former mayor clarified that in the case of Burnham Park, only a relocation survey was pursued to determine its exact metes and bounds, not to have it titled.
Domogan told reporters he did not see the need to have the park titled as it is already delineated as a park by virtue of a Presidential proclamation.
He recalled there was a previous attempt by a group of Ibaloys to have the Ibaloy Heritage Garden titled but he disapproved this, saying the national government, through the Department of Tourism, is still the owner of Burnham Park.
He said Executive Order 224 signed by then President Fidel Ramos which devolved management of the park from the National Parks Development Corporation to the City of Baguio and EO 695 signed by then President Gloria Macapagal-Arroyo, which gave the city full control and administration of the park, has specifically set the limitations of the city government.
“The proclamations were for the transfer of administration only. Kasla nga LGU (local government unit) ti management arm ti Philippine Tourism Authority (now Tieza),” Domogan said. 
He added the titling of portions of the Burnham might set a dangerous precedent as this will allow for other entities to also apply for titling over areas covered by presidential proclamations.
The issuance of title also gives leeway for the city government to exercise its right as owner.
“As owner, the city can do whatever it wants such as to sell or mortgage,” the former mayor said.
On April 24, the city council has allotted an additional P2 million for the titling of Lot 6, which covers portions of the swimming pool and Pine Trees of the World.
City Administrator Bonifacio dela Peña earlier said the city government will apply for all areas in Burnham Park that are not covered by OCT 1. Portions of Burnham Park covered by OCT 1 include the Athletic Bowl and the lots where the old city library and old auditorium were located. 
City officials justified the titling saying this will allow the city government to “clear the irregularities” happening including illegal occupation, adding that the city government does not intend to remove the jurisdiction of the Tieza over the area.
Recently titled portions referred to as Burnham Lot 1 are the picnic grove, skating rink, the parking area fronting Tiong San Harrison, City Environment and Parks Management extension office, City Library, Burnham Lake, Children’s Playground, Orchidarium, bicycle area, Rose Garden, Melvin Jones grandstand, food stalls, Igorot Garden, and Ibaloy Heritage Garden. – Rimaliza A. Opiña with reports from Jordan G. Habbiling



",granted full control burnham park limitations government park segregating portions park presidential proclamations granted government full control administration burnham park segregating park department tourism tourism development authority government titling portions park titling former mayor domogan former mayor burnham park titled domogan park titled park presidential ibaloy heritage garden titled saying national government department tourism owner burnham park said signed president management park national parks development signed president full control administration park set limitations government proclamations administration government management tourism authority tieza domogan said titling portions burnham set allow also apply titling areas covered presidential proclamations also government owner owner former mayor said titling lot portions said government apply areas burnham park covered oct portions burnham park covered oct old library old titling saying allow government government tieza area titled portions burnham lot area parks management library burnham area garden garden ibaloy heritage garden
2,Bar owners discuss issues w/ City Hall authorities,2023-05-07,"The creation of an adjudication board headed by the City Legal Office has been proposed to look over issues concerning bar and entertainment business owners and City Hall offices that are in charge of regulatory documents.
The conduct of meetings may also be initiated to thresh out concerns on permits/licenses or on the acquisition process or procedures.
These were among the things agreed on during a dialogue between bar and entertainment business owners and representatives from the Public Order and Safety Division (POSD), City Health Services, City Legal, City Planning, Development and Sustainability, and other concerned offices last week.
Among those discussed are the city’s smoke-free program where POSD Chief Daryl Longid said the provisions are clear and are enough as bases for confiscation or issuance of a notice of violation.
Longid said during inspection of establishments, details and evidence of smoking are scrutinized before an action is done.
Applications for smoking areas are accepted, but Longid warned that requirements are stringent; and fenced, wide, but unroofed areas for smoking are compulsory.
The liquor ban remains and proposals for its amendment are still with the city council, Longid added.
He also reminded bars and business owners of the Silent Night Ordinance, where excessive loud noise/music are prohibited from 10 p.m. to 5 a.m. and from establishments within 200 meters from schools, churches, and hospitals. Penalties are set at P1,000; P3,000; P5000 on first, second, and third offense, respectively, with six months imprisonment, or both.       
Entertainment or bar operating hours are up to midnight, while those with dancing are up to 2 a.m., but winding-up hours should be done earlier.
Longid said permits for the line of business should be visible as his staff could be called up to check on said business establishments at any hour.
He said the POSD is open for dialogues and clarifications as discussions lead to a healthy relationship between authorities and business people. – Julie G. Fianza



",legal bar entertainment business owners offices also permits among bar entertainment business owners posd legal offices among posd longid said longid said establishments smoking done smoking areas longid areas smoking longid also business owners establishments entertainment bar hours hours done longid said permits business said business establishments said posd business
3,Mines View farmers group allowed to hold trade fair,2023-05-07,"The city council approved the request of the Mines View Farmers’ Association to conduct an agri-tourism trade fair from May 1 to 3 at the Mines View Park as part of the activities lined up for the celebration of the Urban Farmers and Fisherfolks’ Month.
The event aims to help the members augment their income by giving them an opportunity to sell their farm produce to tourists, subject to conditions.
City Veterinarian Silardo B. Bested endorsed the request of the Mines View Farmers Association to conduct the trade fair to showcase their agricultural commodities and by-products, an undertaking that will benefit their families and help them sustain their agri-based livelihood through direct marketing.
Among the conditions imposed for the conduct of the fair is for the vendors to secure barangay business clearance, clearance from the City Environment and Parks Management Office if within the park or clearance from the City Planning and Development and Sustainability Office if outside the park, clearance from the City Health Services Office for food stalls, and for the vendors to pay business tax and follow minimum public health and safety standards.
The association shall install two booths measuring two by four meters at the vacant space at the Mines View Park for the purpose. – PIO release



",request mines view farmers association conduct agri trade fair mines view park farmers help conditions request mines view farmers association conduct trade fair help agri conditions conduct fair vendors business clearance clearance office park clearance office park clearance health office vendors business health association two two mines view park
4,Order kept in hosted events,2023-05-07,"ENSURING ATHLETES’ SAFETY — Police Regional Office-Cordillera Director B/Gen. Dave Peredo, Jr. made the rounds in various billeting areas of delegations for the recently held Cordillera Administrative Region Athletic Association Meet 2023. Peredo made sure the duty personnel were courteous to the athletes, delegates, and visitors while ensuring peace and order in the billeting areas. — PRO-Cor photo
The Baguio City Police Office (BCPO) reported the city was peaceful and orderly after it hosted crowd-drawing events recently.
Baguio City hosted the three-day Cordillera Administrative Region Athletic Meet 2023 and Regional Academic Festival, Ifugao Day celebration, and the 121st Labor Day Job Fair from April 27 to May 1.
BCPO Information Officer Angeline Dongpaen said the police force first raised their alert status and conducted Regional Simultaneous Anti-Criminality Law Enforcement Operations (Sacleo) from April 24 to 30 to tighten and strengthen security and ensure the overall safety of more than 5,000 athletes from the Cordillera.
Dongpaen said about P6.7 million worth of illegal drugs was seized and 25 lawbreakers were arrested by the BCPO in the 35 police operations conducted during the week-long Sacleo, which commenced midnight of April 24.
A total of 370 BCPO personnel and volunteer groups were efficiently deployed in all the venues of the sporting events and billeting areas to maintain peace and order, manage vehicular and pedestrian traffic direction, route, parking, and venue security from April 29 to May 1.
Additionally, 82 personnel from the region’s provincial police offices provided onsite security at the billeting areas of their respective Caraa delegates as BCPO augmentation during the event. Explosive Ordnance Detection (EOD)/K9 conducted inspections at the venues.
BCPO ensured proper coordination with other government agencies and groups to provide medical assistance to the delegates.
“BCPO recorded a protest action on May 1 but ended up without any untoward incident,” Dongpaen reported. – Jessa Mardy P. Samidan



",ensuring athletes safety police regional office cordillera peredo made billeting areas recently cordillera administrative region athletic meet peredo made personnel athletes delegates ensuring peace order billeting areas police office bcpo reported hosted events recently hosted day cordillera administrative region athletic meet regional day day bcpo dongpaen said police conducted regional operations sacleo security safety athletes cordillera dongpaen said bcpo police operations conducted sacleo bcpo personnel groups venues events billeting areas peace order security personnel region police security billeting areas delegates bcpo conducted venues bcpo groups delegates bcpo dongpaen reported
5,BE HONEST,2023-05-07,"BE HONEST — The City of Baguio commended Staff Sergeant Cyril Nuyda of the Philippine Army and Staff Sergeant Danilo Bautista, Jr. of the Philippine Navy for their exemplary kindness and honesty. The two soldiers found recently a wallet in front of the Mansion in Baguio City containing P37,500, including various identification cards and automated teller machine cards owned by Judge Myrna Clemens. — Neil Clark Ongchangco



",staff sergeant philippine staff sergeant philippine cards cards
6,Street performers of Baguio OK plans to regulate practice,2023-05-07,"Street performers composed of buskers, cosplayers, and pantomime artists agree that their operations should be regulated by the government in order to make their performances a pleasant experience for the performers themselves and their audience.
In the public consultation concerning the proposed ordinance that sought to regulate performan-ces in public areas last May 4, the stakeholders accepted the proposal for the payment of an annual permit fee of P350.
The amount will be deposited in a trust account, which, at the end of every year will be used for the benefit of registered street performers.
Only bona fide residents of Baguio, La Trinidad, Itogon, Sablan, Tuba, and Tublay will be issued permits. Proponent Councilor Leandro Yangot Jr. said street performers who are not from the Blisst may be allowed to perform in Baguio during the proposed busking festival, which is being eyed to be held October of every year.
The proposal has also addressed the involvement of minors. In the consultation, it was agreed that only those who 18 years old and above will be allowed to perform.
Other proposed measures to regulate street performances include, prior registration with the City Tourism Office, display of permit to perform, performances shall be at designated areas and on a specific time only.
The proposal states that performances will be allowed from 8 a.m. to 6 p.m., but City Tourism Officer Aloysius Mapalo said the schedule of performances may be extended until midnight on special occasions such as Christmas in Baguio orPanagbenga.
For establishments that hire street performers, Mapalo said their performance should be limited within the confines of the establishment and should not extend to public areas adjacent to the establishment.
The proposal prohibits collection of money from the public as payment for their performances, but allows acceptance of tips, which is voluntary, Yangot said.
A Street Performance Committee (SPC), tasked to screen the performers, designate areas where performers may perform, review the content of the performances, ensure order in areas where street performers are designated, measure the prescribed ambient noise level of musical instruments and loud speakers, which is limited to 10 decibels, and monitor compliance to the guidelines will be formed once the ordinance is approved.
The SPC will be chaired by the mayor, co-chaired by the city administrator with the City Treasurer, head of the Permits and Licensing Division, city tourism officer, city council chair of the committee on tourism, and two representatives from accredited street performers groups as members.
The proposal also states that the mayor may suspend a permit for not more than 30 days if the performer has provided false information in their registration form or if the performer has been charged with three administrative complaints within one year.
Permits may also be revoked if a performer ignores summonses for five consecutive instances. 
In the interim, the CTO has been implementing a scheduling system for street performers at Session Road. This is following the assessment made by the Local Finance Committee of the need for the city government to regulate street performers so as to prevent crowding at the city’s main thoroughfare.
At the time of assessment, micro and small enterprises were permitted to sell at Session Road every Sunday.
Mapalo said the regulation is meant to balance what the city has to offer as a Unesco Creative City for folk arts and crafts and manage the type of activities and performances done in public places.
Yangot said once the proposal is approved, all street performers will be required to register, including those who perform at private functions and in private venues.
Street performers, regardless of the area where they ope-rate will be required to pay a permit fee, as the ordinance does not cover only those at Session Road.
The proposal, which will contain the inputs gathered from the public consultation will be discussed by the city council, prior to its approval. – Rimaliza A. Opiña



",street performers government order performances performers public consultation proposed ordinance regulate public areas proposal payment permit fee every year street performers permits yangot said street performers allowed perform proposed every year proposal also consultation allowed perform proposed regulate street performances prior registration tourism permit perform performances designated areas time proposal states performances allowed tourism officer mapalo said performances street performers mapalo said performance limited within establishment public areas establishment proposal public payment performances yangot said street performance committee spc performers areas performers perform performances order areas street performers designated limited ordinance approved spc chaired mayor chaired permits tourism officer council committee tourism street performers proposal also states mayor permit performer registration performer within year permits also performer street performers session road assessment committee government regulate street performers time assessment session road every mapalo said performances public yangot said proposal approved street performers required perform private private street performers required permit fee ordinance session road proposal public consultation council prior
7,ESTEEMED VISITOR,2023-05-07,"ESTEEMED VISITOR — Mayor Benjie Magalong welcomed Office of the Civil Defense Usec. Ariel Nepomuceno at City Hall on May 5. Nepomuceno was in the city to benchmark OCD-Cordillera’s best practices and innovations in disaster risk reduction and management and to identify areas where OCD can support the operations of the regional office. — Benjamin Magalong Facebook photo



",magalong office nepomuceno nepomuceno ocd ocd office magalong
8,Eight schools join contest for Saleng Festival official song,2023-05-07,"Eight secondary schools from the city and Benguet are vying to be the composer of Saleng Festival’s official theme song.
The Madaymen National High School choir in Kibungan, Benguet signified intention to sing Chaz Katalbas’ environmental-themed original composition.
Immaculate Conception School choir of Bokod, Benguet will also sing Katalbas’ song and their original composition in the competition.
These performances will be on May 26, 1 p.m. at the Rose Garden, Burnham Park.
City Environment and Parks Management Office Head Rhenan Diwas was elated to note that far-flung schools joined the choral contest.
He said any of the competing schools may use indigenous musical instruments as accompaniment or integrate the local dialects in their original song.
Choir contest participant and confirmation committee head Bernadette Pagteilan of Cepmo said the two schools joined Easter College that beat the deadline last April 28.
Other schools that joined are the Baguio City National High School, Pines City National High School, Philippine Science High School-Cordillera, Rizal National High School, and Berkeley School.
Prizes are P50,000 for the first prize winner; P30,000 for the second prize winner;  and P20,000 for the third prize winner. All participants will receive consolation prizes.
For this year, the third edition of the Saleng/Pine Tree Festival is entitled “Rhythm and Harmony of Nature.”
The Saleng or Pine Tree Festival was institutionalized with Mayor Benjamin Magalong signing the ordinance declaring the conduct of the activity in Jan. 2022 for public and private partnership for environmental preservation and protection.
Other activities include regreening, tree cart parade, re-cognition and exhi-bits, international day for diversity, World Environment Day, green thumb award day, fun run, and cycling.
An integral acti-vity for the Saleng Festival, tree planting commences in June, according to Cepmo Forester Floro Bastian.
He said interested groups of tree planters may schedule with Cepmo the areas to be planted and number of free seedlings from the city nurseries. – Julie G. Fianza



",schools benguet saleng festival song national high school choir benguet sing katalbas environmental original composition school choir benguet sing katalbas song original composition environment schools joined contest said schools original song choir contest cepmo said schools joined schools joined national high school national high school high school national high school school prizes prize winner prize winner third prize winner prizes third saleng pine tree festival saleng pine tree festival environmental tree day environment day day saleng festival tree cepmo said tree cepmo
9,LESSONS IN DIGITAL LITERACY,2023-05-07,"LESSONS IN DIGITAL LITERACY — Mayor Benjamin Magalong interacted and had group photos with senior citizens during a lecture on digital literacy at SM Baguio on April 28. The mayor urged the elders to learn new things such as arts and crafts, empower and develop one’s self, and “keep up with the times,” especially in technology. — Contributed photo



",digital literacy mayor digital literacy mayor
